Model,Train Precision,Train Recall,Train Accuracy,Train F1_Score,Test Precision,Test Recall,Test Accuracy,Test F1_Score
Decision Tree Baseline,81.33693537938676,83.1756680360306,83.1756680360306,78.7385653473094,70.99085074353604,78.93189612934836,78.93189612934836,73.55467596045636
Decision Tree Balanced,76.87557065830818,55.30597118054247,55.30597118054247,62.3723458966109,70.9695447486195,49.41205291523764,49.41205291523763,57.06579223187862
Decision Tree Tuned,71.35167632098135,61.88645585999824,61.88645585999824,65.81409909458118,71.38058929614222,62.09625749067199,62.09625749067199,65.93952670814403
Random Forest Baseline,82.24655265719484,83.17503988743577,83.17503988743577,78.1578019238364,71.58190122069047,80.00791467229487,80.00791467229487,73.70522200690334
Random Forest Balanced,76.67169355371446,58.33176296184626,58.33176296184626,64.75667513718884,70.78841272315937,53.165868917951244,53.16586891795123,59.89324995711337
Random Forest Tuned,71.55948707300715,60.35565773439365,60.35565773439365,64.87805991220694,71.47028616357782,60.671616477593936,60.671616477593936,65.04339188744272
XGBoost Baseline,78.15769574282749,81.42690234801945,81.42690234801945,74.08421183124025,73.68401201786014,81.01609316699958,81.01609316699958,73.37965925300466
XGBoost Balanced,78.15769574282749,81.42690234801945,81.42690234801945,74.08421183124025,73.68401201786014,81.01609316699958,81.01609316699958,73.37965925300466
XGBoost Tuned,77.00712690856848,81.24222666113896,81.24222666113896,73.6348591820713,74.05029248925108,81.05378208268948,81.05378208268948,73.32647530824782
